time_fx,time_ca,lag,gbp_usd,sterling_eri,ca_hbop_gbp_million
2006Q1,2006Q1,0,1.752594,98.769927,-12536.0
2006Q2,2006Q2,0,1.830307,100.329203,-10272.0
2006Q3,2006Q3,0,1.874936,102.316786,-12321.0
2006Q4,2006Q4,0,1.914679,103.682598,-10752.0
2007Q1,2007Q1,0,1.954506,104.734855,-15014.0
2007Q2,2007Q2,0,1.986851,104.257746,-10775.0
2007Q3,2007Q3,0,2.021203,104.4094,-17168.0
2007Q4,2007Q4,0,2.045602,101.685914,-14656.0
2008Q1,2008Q1,0,1.978013,95.944484,-14195.0
2008Q2,2008Q2,0,1.970811,93.065633,-16647.0
2008Q3,2008Q3,0,1.893403,91.708554,-14467.0
2008Q4,2008Q4,0,1.574217,84.195239,-16236.0
2009Q1,2009Q1,0,1.434176,77.844905,-15562.0
2009Q2,2009Q2,0,1.553274,81.411231,-14828.0
2009Q3,2009Q3,0,1.640638,82.924335,-8802.0
2009Q4,2009Q4,0,1.634262,80.366514,-8423.0
2010Q1,2010Q1,0,1.558351,79.522654,-9721.0
2010Q2,2010Q2,0,1.490923,79.940611,-9100.0
2010Q3,2010Q3,0,1.551003,81.754555,-13268.0
2010Q4,2010Q4,0,1.581102,80.338019,-12416.0
2011Q1,2011Q1,0,1.603437,80.83001,-3302.0
2011Q2,2011Q2,0,1.628583,79.410747,-5168.0
2011Q3,2011Q3,0,1.609108,79.237857,-11255.0
2011Q4,2011Q4,0,1.571987,80.293494,-7505.0
2012Q1,2012Q1,0,1.571345,81.187069,-7661.0
2012Q2,2012Q2,0,1.583377,83.22333,-16199.0
2012Q3,2012Q3,0,1.579838,84.088353,-12880.0
2012Q4,2012Q4,0,1.605789,83.644437,-16917.0
2013Q1,2013Q1,0,1.551852,80.395844,-19326.0
2013Q2,2013Q2,0,1.535765,80.521769,-17657.0
2013Q3,2013Q3,0,1.550418,81.208351,-19933.0
2013Q4,2013Q4,0,1.618488,83.51842,-23851.0
2014Q1,2014Q1,0,1.655137,85.579479,-18200.0
2014Q2,2014Q2,0,1.683226,86.926482,-18256.0
2014Q3,2014Q3,0,1.669952,88.046003,-22073.0
2014Q4,2014Q4,0,1.583758,87.29848,-31769.0
2015Q1,2015Q1,0,1.513873,89.410183,-25776.0
2015Q2,2015Q2,0,1.534048,91.277398,-14221.0
2015Q3,2015Q3,0,1.548822,92.880782,-20413.0
2015Q4,2015Q4,0,1.517316,92.171936,-31796.0
2016Q1,2016Q1,0,1.430732,87.000174,-27970.0
2016Q2,2016Q2,0,1.434165,85.525444,-25159.0
2016Q3,2016Q3,0,1.312742,78.854865,-32707.0
2016Q4,2016Q4,0,1.24151,76.596946,-19315.0
2017Q1,2017Q1,0,1.239325,77.048017,-15445.0
2017Q2,2017Q2,0,1.280669,77.955226,-22652.0
2017Q3,2017Q3,0,1.308897,76.575108,-17213.0
2017Q4,2017Q4,0,1.326651,77.698641,-15565.0
2018Q1,2018Q1,0,1.391868,79.037225,-20949.0
2018Q2,2018Q2,0,1.360247,79.103579,-16834.0
2018Q3,2018Q3,0,1.303619,77.825405,-18810.0
2018Q4,2018Q4,0,1.286977,77.877352,-24249.0
2019Q1,2019Q1,0,1.302614,78.757992,-32956.0
2019Q2,2019Q2,0,1.285175,78.410446,-13056.0
2019Q3,2019Q3,0,1.233045,75.797265,-12872.0
2019Q4,2019Q4,0,1.286844,79.390072,3022.0
2020Q1,2020Q1,0,1.279241,79.208819,-12605.0
2020Q2,2020Q2,0,1.241751,77.398149,-8224.0
2020Q3,2020Q3,0,1.291446,77.427469,-9335.0
2020Q4,2020Q4,0,1.320437,77.932106,-27636.0
2021Q1,2021Q1,0,1.379081,80.507138,-3355.0
2021Q2,2021Q2,0,1.398662,81.777707,5008.0
2021Q3,2021Q3,0,1.377912,81.777666,-15561.0
2021Q4,2021Q4,0,1.348083,81.604062,-3652.0
2022Q1,2022Q1,0,1.341197,82.334108,-36480.0
2022Q2,2022Q2,0,1.254227,80.128163,-15794.0
2022Q3,2022Q3,0,1.177497,78.19315,-2431.0
2022Q4,2022Q4,0,1.173811,78.098516,5258.0
2023Q1,2023Q1,0,1.21517,78.17765,-19791.0
2023Q2,2023Q2,0,1.252452,80.515928,-34682.0
2023Q3,2023Q3,0,1.265973,82.201114,-15739.0
2023Q4,2023Q4,0,1.240546,81.162871,-28045.0
2024Q1,2024Q1,0,1.267952,82.578902,-20844.0
2024Q2,2024Q2,0,1.261739,82.947861,-23332.0
2024Q3,2024Q3,0,1.300017,84.298431,-13894.0
2024Q4,2024Q4,0,1.282411,84.630461,-27596.0
2025Q1,2025Q1,0,1.259822,84.055614,-21410.0
2025Q2,2025Q2,0,1.335802,85.451548,-23214.0
2025Q3,2025Q3,0,1.348348,84.998045,-10689.0
2025Q4,2025Q4,0,1.329695,84.140069,-18392.0
2006Q1,2007Q1,4,1.752594,98.769927,-15014.0
2006Q2,2007Q2,4,1.830307,100.329203,-10775.0
2006Q3,2007Q3,4,1.874936,102.316786,-17168.0
2006Q4,2007Q4,4,1.914679,103.682598,-14656.0
2007Q1,2008Q1,4,1.954506,104.734855,-14195.0
2007Q2,2008Q2,4,1.986851,104.257746,-16647.0
2007Q3,2008Q3,4,2.021203,104.4094,-14467.0
2007Q4,2008Q4,4,2.045602,101.685914,-16236.0
2008Q1,2009Q1,4,1.978013,95.944484,-15562.0
2008Q2,2009Q2,4,1.970811,93.065633,-14828.0
2008Q3,2009Q3,4,1.893403,91.708554,-8802.0
2008Q4,2009Q4,4,1.574217,84.195239,-8423.0
2009Q1,2010Q1,4,1.434176,77.844905,-9721.0
2009Q2,2010Q2,4,1.553274,81.411231,-9100.0
2009Q3,2010Q3,4,1.640638,82.924335,-13268.0
2009Q4,2010Q4,4,1.634262,80.366514,-12416.0
2010Q1,2011Q1,4,1.558351,79.522654,-3302.0
2010Q2,2011Q2,4,1.490923,79.940611,-5168.0
2010Q3,2011Q3,4,1.551003,81.754555,-11255.0
2010Q4,2011Q4,4,1.581102,80.338019,-7505.0
2011Q1,2012Q1,4,1.603437,80.83001,-7661.0
2011Q2,2012Q2,4,1.628583,79.410747,-16199.0
2011Q3,2012Q3,4,1.609108,79.237857,-12880.0
2011Q4,2012Q4,4,1.571987,80.293494,-16917.0
2012Q1,2013Q1,4,1.571345,81.187069,-19326.0
2012Q2,2013Q2,4,1.583377,83.22333,-17657.0
2012Q3,2013Q3,4,1.579838,84.088353,-19933.0
2012Q4,2013Q4,4,1.605789,83.644437,-23851.0
2013Q1,2014Q1,4,1.551852,80.395844,-18200.0
2013Q2,2014Q2,4,1.535765,80.521769,-18256.0
2013Q3,2014Q3,4,1.550418,81.208351,-22073.0
2013Q4,2014Q4,4,1.618488,83.51842,-31769.0
2014Q1,2015Q1,4,1.655137,85.579479,-25776.0
2014Q2,2015Q2,4,1.683226,86.926482,-14221.0
2014Q3,2015Q3,4,1.669952,88.046003,-20413.0
2014Q4,2015Q4,4,1.583758,87.29848,-31796.0
2015Q1,2016Q1,4,1.513873,89.410183,-27970.0
2015Q2,2016Q2,4,1.534048,91.277398,-25159.0
2015Q3,2016Q3,4,1.548822,92.880782,-32707.0
2015Q4,2016Q4,4,1.517316,92.171936,-19315.0
2016Q1,2017Q1,4,1.430732,87.000174,-15445.0
2016Q2,2017Q2,4,1.434165,85.525444,-22652.0
2016Q3,2017Q3,4,1.312742,78.854865,-17213.0
2016Q4,2017Q4,4,1.24151,76.596946,-15565.0
2017Q1,2018Q1,4,1.239325,77.048017,-20949.0
2017Q2,2018Q2,4,1.280669,77.955226,-16834.0
2017Q3,2018Q3,4,1.308897,76.575108,-18810.0
2017Q4,2018Q4,4,1.326651,77.698641,-24249.0
2018Q1,2019Q1,4,1.391868,79.037225,-32956.0
2018Q2,2019Q2,4,1.360247,79.103579,-13056.0
2018Q3,2019Q3,4,1.303619,77.825405,-12872.0
2018Q4,2019Q4,4,1.286977,77.877352,3022.0
2019Q1,2020Q1,4,1.302614,78.757992,-12605.0
2019Q2,2020Q2,4,1.285175,78.410446,-8224.0
2019Q3,2020Q3,4,1.233045,75.797265,-9335.0
2019Q4,2020Q4,4,1.286844,79.390072,-27636.0
2020Q1,2021Q1,4,1.279241,79.208819,-3355.0
2020Q2,2021Q2,4,1.241751,77.398149,5008.0
2020Q3,2021Q3,4,1.291446,77.427469,-15561.0
2020Q4,2021Q4,4,1.320437,77.932106,-3652.0
2021Q1,2022Q1,4,1.379081,80.507138,-36480.0
