time,boki_gbp_million,gbp_usd,sterling_eri_jan2005_100,is_inflection_quarter
2006Q1,-20882.0,1.752594,98.769927,0
2006Q2,-18935.0,1.830307,100.329203,0
2006Q3,-21435.0,1.874936,102.316786,0
2006Q4,-20840.0,1.914679,103.682598,0
2007Q1,-23185.0,1.954506,104.734855,0
2007Q2,-21107.0,1.986851,104.257746,0
2007Q3,-25210.0,2.021203,104.4094,0
2007Q4,-23898.0,2.045602,101.685914,0
2008Q1,-24029.0,1.978013,95.944484,0
2008Q2,-25078.0,1.970811,93.065633,0
2008Q3,-23730.0,1.893403,91.708554,0
2008Q4,-23033.0,1.574217,84.195239,1
2009Q1,-22856.0,1.434176,77.844905,0
2009Q2,-22212.0,1.553274,81.411231,0
2009Q3,-22242.0,1.640638,82.924335,0
2009Q4,-21657.0,1.634262,80.366514,0
2010Q1,-22475.0,1.558351,79.522654,0
2010Q2,-23555.0,1.490923,79.940611,0
2010Q3,-26431.0,1.551003,81.754555,0
2010Q4,-26760.0,1.581102,80.338019,0
2011Q1,-20881.0,1.603437,80.83001,0
2011Q2,-28317.0,1.628583,79.410747,0
2011Q3,-29550.0,1.609108,79.237857,0
2011Q4,-25305.0,1.571987,80.293494,0
2012Q1,-24837.0,1.571345,81.187069,0
2012Q2,-30807.0,1.583377,83.22333,0
2012Q3,-28483.0,1.579838,84.088353,0
2012Q4,-28051.0,1.605789,83.644437,0
2013Q1,-27979.0,1.551852,80.395844,0
2013Q2,-31820.0,1.535765,80.521769,0
2013Q3,-29994.0,1.550418,81.208351,0
2013Q4,-32780.0,1.618488,83.51842,0
2014Q1,-29782.0,1.655137,85.579479,0
2014Q2,-28558.0,1.683226,86.926482,0
2014Q3,-32374.0,1.669952,88.046003,0
2014Q4,-36957.0,1.583758,87.29848,0
2015Q1,-34099.0,1.513873,89.410183,0
2015Q2,-27131.0,1.534048,91.277398,0
2015Q3,-29530.0,1.548822,92.880782,0
2015Q4,-30641.0,1.517316,92.171936,0
2016Q1,-31661.0,1.430732,87.000174,0
2016Q2,-30858.0,1.434165,85.525444,0
2016Q3,-38908.0,1.312742,78.854865,1
2016Q4,-32271.0,1.24151,76.596946,0
2017Q1,-32842.0,1.239325,77.048017,0
2017Q2,-33602.0,1.280669,77.955226,0
2017Q3,-35703.0,1.308897,76.575108,0
2017Q4,-32779.0,1.326651,77.698641,0
2018Q1,-32762.0,1.391868,79.037225,0
2018Q2,-31570.0,1.360247,79.103579,0
2018Q3,-32022.0,1.303619,77.825405,0
2018Q4,-37225.0,1.286977,77.877352,0
2019Q1,-50203.0,1.302614,78.757992,0
2019Q2,-36313.0,1.285175,78.410446,0
2019Q3,-31865.0,1.233045,75.797265,0
2019Q4,-16710.0,1.286844,79.390072,0
2020Q1,-28386.0,1.279241,79.208819,0
2020Q2,-11364.0,1.241751,77.398149,0
2020Q3,-31267.0,1.291446,77.427469,0
2020Q4,-46650.0,1.320437,77.932106,0
2021Q1,-39644.0,1.379081,80.507138,0
2021Q2,-31590.0,1.398662,81.777707,0
2021Q3,-43583.0,1.377912,81.777666,0
2021Q4,-37031.0,1.348083,81.604062,0
2022Q1,-62147.0,1.341197,82.334108,0
2022Q2,-57624.0,1.254227,80.128163,0
2022Q3,-39412.0,1.177497,78.19315,1
2022Q4,-36213.0,1.173811,78.098516,0
2023Q1,-49549.0,1.21517,78.17765,0
2023Q2,-48900.0,1.252452,80.515928,0
2023Q3,-44840.0,1.265973,82.201114,0
2023Q4,-48847.0,1.240546,81.162871,0
2024Q1,-44126.0,1.267952,82.578902,0
2024Q2,-58111.0,1.261739,82.947861,0
2024Q3,-45751.0,1.300017,84.298431,0
2024Q4,-57034.0,1.282411,84.630461,0
2025Q1,-55228.0,1.259822,84.055614,0
2025Q2,-62834.0,1.335802,85.451548,0
2025Q3,-59366.0,1.348348,84.998045,0
2025Q4,-65496.0,1.329695,84.140069,1
